Date,Gold Price,Stock Price,Crude Price
01-11-2020,1879,12969,3326
01-10-2020,1889,11642,2642
01-09-2020,1902,11247,2934
01-08-2020,1986,11387,3145
01-07-2020,1995,11073,3023
01-06-2020,1827,10302,3015
01-05-2020,1770,9580,2564
01-04-2020,1706,9859,1315
01-03-2020,1598,8597,1680
01-02-2020,1587,11201,3263
01-01-2020,1614,11962,3683
01-12-2019,1555,12168,4386
01-11-2019,1500,12056,3980
01-10-2019,1547,11877,3853
01-09-2019,1506,11474,3880
01-08-2019,1560,11023,3952
01-07-2019,1470,11118,4032
01-06-2019,1450,11788,4095
01-05-2019,1353,11922,3775
01-04-2019,1340,11748,4467
01-03-2019,1350,11623,4185
01-02-2019,1375,10792,4058
01-01-2019,1384,10830,3869
01-12-2018,1347,10862,3170
01-11-2018,1292,10876,3576
01-10-2018,1288,10386,4892
01-09-2018,1268,10930,5335
01-08-2018,1277,11680,4959
01-07-2018,1308,11356,4734
01-06-2018,1343,10714,5086
01-05-2018,1395,10736,4517
01-04-2018,1419,10739,4583
01-03-2018,1426,10113,4234
01-02-2018,1419,10492,4093
01-01-2018,1439,11027,4112
01-12-2017,1391,10530,3850
01-11-2017,1357,10226,3687
01-10-2017,1347,10335,3528
01-09-2017,1357,9788,3373
01-08-2017,1388,9917,3038
01-07-2017,1340,10077,3183
01-06-2017,1314,9520,2968
01-05-2017,1348,9621,3127
01-04-2017,1347,9304,3174
01-03-2017,1329,9173,3284
01-02-2017,1334,8879,3566
01-01-2017,1291,8561,3614
01-12-2016,1234,8185,3650
01-11-2016,1238,8224,3377
01-10-2016,1333,8625,3153
01-09-2016,1370,8611,3212
01-08-2016,1367,8786,3003
01-07-2016,1415,8638,2782
01-06-2016,1375,8287,3304
01-05-2016,1269,8160,3333
01-04-2016,1341,7849,3035
01-03-2016,1280,7738,2572
01-02-2016,1273,6987,2321
01-01-2016,1161,7563,2286
01-12-2015,1121,7946,2493
01-11-2015,1123,7935,2798
01-10-2015,1195,8065,3068
01-09-2015,1183,7948,2979
01-08-2015,1216,7971,3230
01-07-2015,1183,8532,3038
01-06-2015,1270,8368,3776
01-05-2015,1280,8433,3869
01-04-2015,1273,8181,3790
01-03-2015,1272,849,3025
01-02-2015,1302,8901,3064
01-01-2015,1384,8808,2855
01-12-2014,1335,8282,3369
01-11-2014,1175,8588,4210
01-10-2014,1171,8322,4931
01-09-2014,1210,7964,5673
01-08-2014,1285,7954,5831
01-07-2014,1281,7721,6006
01-06-2014,1321,7611,6337
01-05-2014,1245,7229,6106
01-04-2014,1295,6696,6015
01-03-2014,1283,6704,6119
01-02-2014,1321,6276,6371
01-01-2014,1240,6089,6169
01-12-2013,1201,6304,6122
01-11-2013,1250,6176,5839
01-10-2013,1323,6299,5996
01-09-2013,1326,5735,6440
01-08-2013,1396,5471,7246
01-07-2013,1312,5742,6409
01-06-2013,1223,5842,5763
01-05-2013,1392,5985,5273
01-04-2013,1472,5930,5014
01-03-2013,1594,5682,5400
01-02-2013,1577,5693,5076
01-01-2013,1660,6034,5202
01-12-2012,1674,5905,5015
01-11-2012,1710,5879,4838
01-10-2012,1717,5619,4666
01-09-2012,1771,5703,4887
01-08-2012,1684,5258,5358
01-07-2012,1610,5229,4921
01-06-2012,1603,5278,4695
01-05-2012,1562,4924,4919
01-04-2012,1663,5248,5514
01-03-2012,1669,5295,5274
01-02-2012,1709,5385,5227
01-01-2012,1737,5199,4927
01-12-2011,1565,4624,5296
01-11-2011,1745,4832,5219
01-10-2011,1724,5326,4516
01-09-2011,1620,4943,3995
01-08-2011,1828,5001,4081
01-07-2011,1628,5482,4237
01-06-2011,1502,5647,4241
01-05-2011,1535,5560,4631
01-04-2011,1556,5749,5047
01-03-2011,1438,5833,4744
01-02-2011,1409,5333,4444
01-01-2011,1333,5505,4229
01-12-2010,1421,6134,4088
01-11-2010,1385,5862,3923
01-10-2010,1357,6017,3630
01-09-2010,1307,6029,3591
01-08-2010,1248,5402,3449
01-07-2010,1181,5367,3654
01-06-2010,1245,5312,3523
01-05-2010,1212,5086,3464
01-04-2010,1180,5278,3814
01-03-2010,1113,5249,3751
01-02-2010,1118,4922,3669
01-01-2010,1083,4882,3378
01-12-2009,1095,5201,3727
01-11-2009,1181,5032,3550
01-10-2009,1039,4711,3638
01-09-2009,1008,5083,3337
01-08-2009,951,4662,3616
01-07-2009,953,4636,3271
01-06-2009,927,4291,3344
01-05-2009,978,4448,3124
01-04-2009,890,3473,2555
01-03-2009,922,3020,2481
01-02-2009,941,2763,2259
01-01-2009,927,2874,2058
01-12-2008,883,2959,1996
01-11-2008,816,2755,2746
01-10-2008,716,2885,3207
01-09-2008,874,3921,4744
01-08-2008,829,4360,5123
01-07-2008,913,4332,5278
